1907,7-May-23,Sunday,1,Q01095055,Q,01,09,50,55,
1906,4-May-23,Thursday,1,X06091213,X,06,09,12,13,
1905,3-May-23,Wednesday,1,X04134677,X,04,13,46,77,
1904,2-May-23,Tuesday,1,J35627577,J,35,62,75,77,
1903,1-May-23,Monday,1,A15344163,A,15,34,41,63,
1902,30-Apr-23,Sunday,1,R02134650,R,02,13,46,50,
1901,29-Apr-23,Saturday,1,O04487273,O,04,48,72,73,
1900,28-Apr-23,Friday,1,E08373962,E,08,37,39,62,
1899,27-Apr-23,Thursday,1,F04081219,F,04,08,12,19,
1898,26-Apr-23,Wednesday,1,G21596975,G,21,59,69,75,
1897,25-Apr-23,Tuesday,1,H23245051,H,23,24,50,51,
1896,24-Apr-23,Monday,1,D37445664,D,37,44,56,64,
1895,23-Apr-23,Sunday,2,O27444754,O,27,44,47,54,
1894,22-Apr-23,Saturday,2,Z39445169,Z,39,44,51,69,
1893,21-Apr-23,Friday,2,O21394356,O,21,39,43,56,
1892,20-Apr-23,Thursday,2,B02176274,B,02,17,62,74,
1891,19-Apr-23,Wednesday,2,H09466475,H,09,46,64,75,
1890,18-Apr-23,Tuesday,2,H16323849,H,16,32,38,49,
1889,12-Apr-23,Wednesday,2,U03183856,U,03,18,38,56,
1888,11-Apr-23,Tuesday,2,B25282949,B,25,28,29,49,
1887,10-Apr-23,Monday,2,H03454967,H,03,45,49,67,
1886,9-Apr-23,Sunday,2,N38405571,N,38,40,55,71,
1885,8-Apr-23,Saturday,2,T05222941,T,05,22,29,41,
1884,7-Apr-23,Friday,2,U35464859,U,35,46,48,59,
1883,6-Apr-23,Thursday,3,C04085053,C,04,08,50,53,
1882,5-Apr-23,Wednesday,3,U11185162,U,11,18,51,62,
1881,4-Apr-23,Tuesday,3,W04103658,W,04,10,36,58,
1880,3-Apr-23,Monday,3,W26455975,W,26,45,59,75,
1879,2-Apr-23,Sunday,3,Z17355168,Z,17,35,51,68,
1878,1-Apr-23,Saturday,3,N06334463,N,06,33,44,63,
1877,31-Mar-23,Friday,3,V02071044,V,02,07,10,44,
1876,30-Mar-23,Thursday,3,J46506270,J,46,50,62,70,
1875,29-Mar-23,Wednesday,3,E24354251,E,24,35,42,51,
1874,28-Mar-23,Tuesday,3,B07283334,B,07,28,33,34,
1873,27-Mar-23,Monday,3,P32516871,P,32,51,68,71,
1872,26-Mar-23,Sunday,3,D15224452,D,15,22,44,52,
1871,25-Mar-23,Saturday,4,J13325058,J,13,32,50,58,
1870,24-Mar-23,Friday,4,W04123552,W,04,12,35,52,
1869,23-Mar-23,Thursday,4,P10546468,P,10,54,64,68,
1868,22-Mar-23,Wednesday,4,N14252636,N,14,25,26,36,
1867,21-Mar-23,Tuesday,4,P10405367,P,10,40,53,67,
1866,20-Mar-23,Monday,4,V12276972,V,12,27,69,72,
1865,19-Mar-23,Sunday,4,O23254075,O,23,25,40,75,
1864,18-Mar-23,Saturday,4,N08202277,N,08,20,22,77,
1863,17-Mar-23,Friday,4,P03356373,P,03,35,63,73,
1862,16-Mar-23,Thursday,4,G10384256,G,10,38,42,56,
1861,15-Mar-23,Wednesday,4,J31325061,J,31,32,50,61,
1860,14-Mar-23,Tuesday,4,J08181922,J,08,18,19,22,
1859,13-Mar-23,Monday,5,Y50525968,Y,50,52,59,68,
1858,12-Mar-23,Sunday,5,D08162069,D,08,16,20,69,
1857,11-Mar-23,Saturday,5,M11303246,M,11,30,32,46,
1856,10-Mar-23,Friday,5,Z08285770,Z,08,28,57,70,
1855,9-Mar-23,Thursday,5,A06327072,A,06,32,70,72,
1854,8-Mar-23,Wednesday,5,W11162444,W,11,16,24,44,
1853,7-Mar-23,Tuesday,5,I15304047,I,15,30,40,47,
1852,6-Mar-23,Monday,5,V09656875,V,09,65,68,75,
1851,5-Mar-23,Sunday,5,A05061927,A,05,06,19,27,
1850,4-Mar-23,Saturday,5,B11364052,B,11,36,40,52,
1849,3-Mar-23,Friday,5,L39526773,L,39,52,67,73,
1848,2-Mar-23,Thursday,5,F11187274,F,11,18,72,74,
